Location,Date,Sentinel-2,X,Y,Longitude,Latitude,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,FDI,label
Caribbean Sea,20171009,A,3554,1818,-86.32328033447266,15.916486740112305,0.033523407000000005,0.06489668,0.070121795,0.07322681,0.046789028,0.03927465,0.05901988,0.09123912,0.07263377,0.027185928,0.017194528,0.10952000818649796,0.07338816655884522,2
Gulf of Gera,20210716,B,49,37,26.52469062805176,39.03956985473633,0.020174686,0.04966151,0.066515036,0.056469585999999995,0.04792305,0.041108616,0.043577787,0.06051458,0.045505162,0.013211452,0.0116380425,0.03457727774885366,0.06897993852929976,2
Durban,20190424,B,600,699,31.06691169738769,-29.863283157348643,0.051023226,0.059160978,0.070588745,0.0434911,0.023453416,0.026018355,0.028625198,0.04096893,0.030807609,0.01741161,0.014217948,-0.029862291074251306,0.030244981177279456,2
Accra,20181031,B,1549,478,0.4124456644058228,5.761260509490968,0.008278202,0.014501267,0.024365403,0.016071171999999998,0.07915205,0.09183319,0.12810461,0.079289615,0.11495379,0.013384972,0.012416927,0.6629396105969638,0.12686091647450812,4
Accra,20181031,B,3777,455,0.1024310439825058,5.663126468658447,0.0120196715,0.016232824,0.02938693,0.020018548,0.03890596,0.042605508,0.045232687,0.09236614,0.051858973,0.00719679,0.008843162,0.6437495470913263,0.11268283026528453,4
Durban,20190424,B,757,542,31.08342742919922,-29.8493595123291,0.054895952000000005,0.057654873,0.06108996,0.042237625,0.032772765,0.037911076,0.048536435,0.058317494,0.047504876,0.029436616,0.024027426,0.1599109936909328,0.035465750346096885,2
Okinawa,20211026,A,3051,672,127.8950424194336,26.76997184753418,0.06787545,0.11834611,0.13679735,0.16266063,0.16648504,0.17281942,0.16824183,0.16067594,0.14979836,0.093978345,0.053291544,-0.006138155050014946,0.12757910000000006,5
Durban,20190424,B,595,702,31.066389083862305,-29.86354637145996,0.0539309,0.06431596,0.07537196,0.045718726,0.029922064,0.028185768,0.03225617,0.04281118,0.034296542,0.018430384,0.017033363,-0.032842528941576014,0.031960979082716306,2
Caribbean Sea,20171009,A,3138,1659,-86.36209869384766,15.930978775024414,0.024434978,0.045474455,0.043423757,0.056341603,0.026065383,0.030804906,0.032743216,0.055071488,0.04359832,0.027643386,0.018756447,-0.011400051722826677,0.02986944433273628,2
Marmara Sea,20210606,B,1133,976,29.04014778137207,40.938148498535156,0.038170476,0.045883615,0.044005014,0.020272119,0.021318635,0.017917642,0.019809656,0.016451518999999998,0.016176943,0.0030013747,0.0030242990000000003,-0.10403653363536587,0.025040466,6
Gulf of Gera,20210726,B,48,15,26.52456283569336,39.04154968261719,0.008902970999999999,0.015640657,0.022125775,0.0054298425,0.006877538000000001,0.009610199,0.013554827,0.010295513000000001,0.01275107,0.012773498000000001,0.013590995,0.3094156122575416,-0.004935949295959382,1
Okinawa,20211026,A,2731,741,127.86292266845705,26.76348876953125,0.037921727,0.067881115,0.074200414,0.081347406,0.063867316,0.061534215,0.069544405,0.07540637,0.062064078,0.03120034,0.020478403,-0.03790043309706298,0.06763001,5
Accra,20181031,B,1456,640,0.40397369861602783,5.7466816902160645,0.0047425204,0.019088982,0.041528095,0.037884396,0.07012836,0.09507447,0.11984396,0.17764176,0.11181049,0.012856507,0.011215499,0.6484473466877031,0.2286707148360482,4
Vigo,20160920,A,85,174,-8.906716346740723,42.25159072875977,0.01927888,0.02947469,0.029182311,0.022187315,0.010811624,0.012103589,0.013456442,0.020055357,0.012691903,0.0067284545,0.004451418,-0.05046929796486359,0.01747761,7
Tsamakia beach,20180607,A,22,22,26.56552314758301,39.10794067382813,0.020553388,0.06521991,0.050212324,0.035844225,0.01579448,0.017923808,0.025607694,0.04872782,0.025981327999999998,0.019326594,0.016076883,0.1523386953691376,0.028317987290275005,2
Gulf of Gera,20210726,B,47,43,26.52446365356445,39.03902816772461,0.012448173,0.032388527,0.06127684200000001,0.11244333,0.11001665,0.11246195,0.14215015,0.17329836,0.14642505,0.016540732,0.015243897,0.2129721777735689,0.23129086974190816,3
Marmara Sea,20210606,B,1140,860,29.04129981994629,40.948577880859375,0.028151494,0.03353983,0.028938906,0.0082139475,0.0062480774,0.006631294,0.007402644,0.0081552025,0.0049337856,0.0014060837,0.0022423237,-0.0035887630084641344,0.010809241,6
Accra,20181031,B,3709,530,0.09626324474811554,5.656384468078612,0.012646838,0.017260462,0.030733092000000007,0.024305716,0.093899496,0.123448476,0.14111531,0.106834814,0.13470268,0.011538722,0.010617991,0.6293180148044238,0.18225283548254706,4
Durban,20190424,B,754,555,31.08309555053711,-29.850528717041016,0.047004737000000005,0.05829997,0.057998143,0.04236512,0.034451496,0.03304438,0.039234746,0.05697023,0.040078133,0.026168747000000003,0.018770846,0.14702832375382982,0.03614402584091389,2
